"country","year","tbi","pro_cleanfuel","pro_basicwater","pro_safewater","pro_slum","mean_exposure_pm2.5","total_greenhouses","pro_basicsanitation","pro_safesanitation","gdp","hdi","region"
"Afghanistan",2006,189,13.5,38.5671193339185,15.6484265825764,63.6,61.5146494273075,27.8006,28.8122662344939,28.8122662344939,6971758282.29351,0.41,"Eastern Mediterranean"
"Afghanistan",2008,189,16.6,43.6326087182233,17.4760103900168,63.6,54.1911438080183,32.4295,32.128704614959,32.128704614959,10109297047.5432,0.431,"Eastern Mediterranean"
"Afghanistan",2010,189,19.9,48.8269685242371,19.301139222627,64.80761,49.6793770289443,39.5306,35.4774709901664,35.4774709901664,15856668555.8336,0.449,"Eastern Mediterranean"
"Afghanistan",2012,189,22.9,54.1494916362474,21.1239963442836,67.24795,70.9223165078033,41.8041,38.8603050336229,38.8603050336229,19907329777.5872,0.467,"Eastern Mediterranean"
"Afghanistan",2014,189,26.1,59.5981581738121,22.9443007139289,69.68829,77.1437275538632,40.5537,42.2784026530125,42.2784026530125,20497128555.6972,0.48,"Eastern Mediterranean"
"Afghanistan",2016,189,28.8,65.1721622599667,24.7622201760444,72.12863,72.7659101386992,39.9062,45.7336021554717,45.7336021554717,18116572395.0772,0.483,"Eastern Mediterranean"
"Afghanistan",2018,189,31.4,70.8799408932308,26.5813145377719,73.3,67.2271774798558,40.7805,49.2341444226923,49.2341444226923,18053222687.4126,0.486,"Eastern Mediterranean"
"Afghanistan",2020,183,33.8,76.72225540254,28.4025051496417,73.3,46.0870936659706,37.4909,52.6490009350063,52.6490009350063,19955929052.1496,0.488,"Eastern Mediterranean"
"Albania",2000,22,35.2,86.3970439494077,49.1383205634209,28.1,22.2651885663762,8.6227,89.4886714004041,89.4886714004041,3480355258.04122,0.678,"Europe"
"Albania",2002,22,41.4,87.4516357159612,48.984765568043,25.5,22.4827851202514,9.4424,90.605514785525,90.605514785525,4348068242.19512,0.692,"Europe"
"Albania",2004,20,47.8,88.5105812614285,50.7176777876065,23,22.6759229494045,9.846,91.7106511759046,91.7106511759046,7184685781.51876,0.707,"Europe"
"Albania",2006,18,54.7,89.5191349968004,54.4670824974091,20.5,22.5109695957413,9.4849,92.9214092333686,92.9214092333686,8896075004.63516,0.728,"Europe"
"Albania",2008,16,61,90.4761498369914,58.3284789243762,17.9,21.4806685713767,9.225,94.0758130632297,94.0758130632297,12881352893.6855,0.747,"Europe"
"Albania",2010,17,66.2,91.3794796111017,62.3006301902166,15.4,20.8141104654758,9.6113,95.1721612127179,95.1721612127179,11926926615.8015,0.766,"Europe"
"Albania",2012,16,71.3,92.2287785293112,66.3808520347694,12.9,20.9627204112539,13.5231,96.2102708087274,96.2102708087274,12319834195.331,0.789,"Europe"
"Albania",2014,16,75.2,93.0200580597032,70.5632610188294,10.3,19.3679442180935,10.1759,97.1880221308194,97.1880221308194,13228147516.1168,0.797,"Europe"
"Albania",2016,17,78.3,93.7548779094968,70.6165078550165,7.8,17.602163992984,9.7309,98.1079030060422,98.1079030060422,11861199830.8396,0.795,"Europe"
"Albania",2018,18,80.7,94.4363934347219,70.65335162337,5.3,19.0461862321065,10.4992,98.9736460270302,98.9736460270302,15379509891.7196,0.797,"Europe"
"Albania",2020,15,83.1,95.0680388145809,70.6745374149515,2.8,15.7070036417042,9.1328,99.2987931149029,99.2987931149029,15241458744.8688,0.784,"Europe"
"Algeria",2008,74,99,91.8433087449211,74.1828238425326,30.8,25.4799096142764,196.3231,86.5335680761237,86.5335680761237,180383848331.135,0.709,"Africa"
"Algeria",2010,78,99.2,92.2959734615905,75.056807812812,30.8,24.3952993862667,200.9843,86.9781332130706,86.9781332130706,177785053939.531,0.721,"Africa"
"Algeria",2012,73,99.4,92.7451846992975,75.867622968565,28.88661,24.3968164333132,223.9411,87.0935397027506,87.0935397027506,227143746075.934,0.726,"Africa"
"Algeria",2014,72,99.5,93.1923467804089,76.6182319353339,24.98121,24.111122951181,241.2862,86.8698424356598,86.8698424356598,238942664192.59,0.732,"Africa"
"Algeria",2016,70,99.6,93.6227755358994,76.3948592626,21.07581,25.5531525527547,253.4389,86.6054829474466,86.6054829474466,180763839522.151,0.738,"Africa"
"Algeria",2018,69,99.7,94.0374149250041,75.036130399841,17.17042,24.9335900639775,266.6026,86.303094189528,86.303094189528,194554483655.528,0.74,"Africa"
"Algeria",2020,58,99.7,94.4373299704124,72.2481473302903,13.26502,25.5526558310447,257.0637,85.9654695730295,85.9654695730295,164873415325.201,0.73,"Africa"
"Armenia",2000,54,78.1,95.3321795073804,82.3507193495398,12.79599,27.498645550379,3.8018,86.9598960322857,86.9598960322857,1911563668.85006,0.656,"Europe"
"Armenia",2002,59,84.5,95.8591152115814,82.5738249153644,12.30696,27.4848026556976,3.4419,87.7125537666032,87.7125537666032,2376335048.39976,0.67,"Europe"
"Armenia",2004,69,89.7,96.4166622270609,82.8105594508515,11.81793,27.6753386119868,4.2823,88.5026889720846,88.5026889720846,3576615240.41616,0.689,"Europe"
"Armenia",2006,75,92.8,96.9824019913165,83.0495663188159,11.3289,28.4040594680882,5.0436,89.2950645345258,89.2950645345258,6384452066.5146,0.714,"Europe"
"Armenia",2008,71,94.9,97.5564813624504,83.290892297693,10.83987,30.454755880876,6.4433,90.0898320713121,90.0898320713121,11662040713.8753,0.733,"Europe"
"Armenia",2010,61,96.1,98.138914628293,83.2415893535423,10.35084,34.4470166846987,5.1035,90.886816268627,90.886816268627,9260285755.62424,0.739,"Europe"
