"country","year","tbi","pro_basicwater","pro_safewater","pro_basicsanitation","pro_safesanitation","hdi","region"
"Afghanistan",2000,190,"27.441856094126202","11.0933263091436","20.9709193555198","20.9709193555198",0.34,"Eastern Mediterranean"
"Afghanistan",2001,189,"27.4735802318339","11.1052211474061","20.9823486569015","20.9823486569015",0.344,"Eastern Mediterranean"
"Afghanistan",2002,189,"29.674862731510899","12.0077331734354","22.5413387666176","22.5413387666176",0.368,"Eastern Mediterranean"
"Afghanistan",2003,189,"31.875589161066902","12.9099215252666","24.1003328260197","24.1003328260197",0.379,"Eastern Mediterranean"
"Afghanistan",2004,189,"34.094431290788897","13.8186837545214","25.6662399387279","25.6662399387279",0.395,"Eastern Mediterranean"
"Afghanistan",2005,189,"36.331226124457402","14.733852939883","27.2391887360031","27.2391887360031",0.402,"Eastern Mediterranean"
"Afghanistan",2006,189,"38.567119333918498","15.6484265825764","28.8122662344939","28.8122662344939",0.41,"Eastern Mediterranean"
"Afghanistan",2007,189,"41.083673896092201","16.5625231156134","30.4665336124326","30.4665336124326",0.426,"Eastern Mediterranean"
"Afghanistan",2008,189,"43.632608718223302","17.4760103900168","32.128704614959","32.128704614959",0.431,"Eastern Mediterranean"
"Afghanistan",2009,189,"46.2137626459091","18.3888843398134","33.7989577403427","33.7989577403427",0.441,"Eastern Mediterranean"
"Afghanistan",2010,189,"48.826968524237103","19.301139222627","35.4774709901664","35.4774709901664",0.449,"Eastern Mediterranean"
"Afghanistan",2011,189,"51.472376468319801","20.2128842346224","37.16457222165","37.16457222165",0.457,"Eastern Mediterranean"
"Afghanistan",2012,189,"54.149491636247397","21.1239963442836","38.8603050336229","38.8603050336229",0.467,"Eastern Mediterranean"
"Afghanistan",2013,189,"56.858141594812402","22.0344697184414","40.564852379778","40.564852379778",0.475,"Eastern Mediterranean"
"Afghanistan",2014,189,"59.598158173812102","22.9443007139289","42.2784026530125","42.2784026530125",0.48,"Eastern Mediterranean"
"Afghanistan",2015,189,"62.369659558562397","23.8535895499243","44.0013086436901","44.0013086436901",0.479,"Eastern Mediterranean"
"Afghanistan",2016,189,"65.172162259966697","24.7622201760444","45.7336021554717","45.7336021554717",0.483,"Eastern Mediterranean"
"Afghanistan",2017,189,"68.008871585664295","25.6714172375918","47.4776157981306","47.4776157981306",0.485,"Eastern Mediterranean"
"Afghanistan",2018,189,"70.879940893230795","26.5813145377719","49.2341444226923","49.2341444226923",0.486,"Eastern Mediterranean"
"Afghanistan",2019,189,"73.784642996730796","27.4917341128464","51.0034810931108","51.0034810931108",0.492,"Eastern Mediterranean"
"Afghanistan",2020,183,"76.72225540254","28.4025051496417","52.6490009350063","52.6490009350063",0.488,"Eastern Mediterranean"
"Albania",2000,22,"86.397043949407703","49.1383205634209","89.4886714004041","89.4886714004041",0.678,"Europe"
"Albania",2001,20,"86.904068491764903","49.0811977467469","90.0309542893634","90.0309542893634",0.687,"Europe"
"Albania",2002,22,"87.451635715961203","48.984765568043","90.605514785525","90.605514785525",0.692,"Europe"
"Albania",2003,20,"87.987196718119904","48.8854457544253","91.1654586707594","91.1654586707594",0.701,"Europe"
"Albania",2004,20,"88.510581261428499","50.7176777876065","91.7106511759046","91.7106511759046",0.707,"Europe"
"Albania",2005,19,"89.021185839122793","52.5783324245073","92.3229745372511","92.3229745372511",0.72,"Europe"
"Albania",2006,18,"89.519134996800403","54.4670824974091","92.9214092333686","92.9214092333686",0.728,"Europe"
"Albania",2007,17,"90.004190383258404","56.3838433244244","93.5057456524919","93.5057456524919",0.74,"Europe"
"Albania",2008,16,"90.476149836991397","58.3284789243762","94.0758130632297","94.0758130632297",0.747,"Europe"
"Albania",2009,17,"90.934409615320803","60.3009052009062","94.6311525971364","94.6311525971364",0.752,"Europe"
"Albania",2010,17,"91.379479611101701","62.3006301902166","95.1721612127179","95.1721612127179",0.766,"Europe"
"Albania",2011,17,"91.810888557411303","64.3274026075619","95.6984954437804","95.6984954437804",0.779,"Europe"
"Albania",2012,16,"92.228778529311199","66.3808520347694","96.2102708087274","96.2102708087274",0.789,"Europe"
"Albania",2013,19,"92.631596058428002","68.459832807363","96.7065621641798","96.7065621641798",0.793,"Europe"
"Albania",2014,16,"93.020058059703203","70.5632610188294","97.1880221308194","97.1880221308194",0.797,"Europe"
"Albania",2015,17,"93.394323968364503","70.5919698860001","97.6549638832306","97.6549638832306",0.797,"Europe"
"Albania",2016,17,"93.754877909496798","70.6165078550165","98.1079030060422","98.1079030060422",0.795,"Europe"
"Albania",2017,20,"94.102096200270097","70.6369415898919","98.5472976713805","98.5472976713805",0.796,"Europe"
"Albania",2018,18,"94.436393434721893","70.65335162337","98.9736460270302","98.9736460270302",0.797,"Europe"
"Albania",2019,16,"94.758224717454794","70.6658550054076","99.1830688799465","99.1830688799465",0.8,"Europe"
"Albania",2020,15,"95.068038814580902","70.6745374149515","99.2987931149029","99.2987931149029",0.784,"Europe"
"Algeria",2000,75,"89.848828579842504","70.078517334717","84.4808303267888","84.4808303267888",0.652,"Africa"
"Algeria",2001,73,"90.113447796422193","70.6421850278993","84.7599276450493","84.7599276450493",0.659,"Africa"
